"run","randomSeed","First_Strat","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
7866,-1320628944,"A_SPLIT",10,60,150,10,40,200
7874,-1320601974,"A_SPLIT",10,60,150,20,33,150
7882,-1320576221,"A_SPLIT",10,60,150,25,40,100
7890,-1320550880,"A_SPLIT",10,80,50,0,40,200
7898,-1320540790,"A_SPLIT",10,80,50,10,33,150
7906,-1320531315,"A_SPLIT",10,80,50,15,40,100
7914,-1320510806,"A_SPLIT",10,80,50,20,40,200
7922,-1320500732,"A_SPLIT",10,80,100,0,33,150
7930,-1320453423,"A_SPLIT",10,80,100,5,40,100
7938,-1320419608,"A_SPLIT",10,80,100,10,40,200
7946,-1320369435,"A_SPLIT",10,80,100,20,33,150
7954,-1320319376,"A_SPLIT",10,80,100,25,40,100
7962,-1320294039,"A_SPLIT",10,80,150,0,40,200
7970,-1320267297,"A_SPLIT",10,80,150,10,33,150
7978,-1320242117,"A_SPLIT",10,80,150,15,40,100
7986,-1320216973,"A_SPLIT",10,80,150,20,40,200
7994,-1320198459,"A_SPLIT",10,100,50,0,33,150
8002,-1320180333,"A_SPLIT",10,100,50,5,40,100
8010,-1320162222,"A_SPLIT",10,100,50,10,40,200
8018,-1320149315,"A_SPLIT",10,100,50,20,33,150
8026,-1320139828,"A_SPLIT",10,100,50,25,40,100
8034,-1320122315,"A_SPLIT",10,100,100,0,40,200
8042,-1320103598,"A_SPLIT",10,100,100,10,33,150
8050,-1320055837,"A_SPLIT",10,100,100,15,40,100
8058,-1320036526,"A_SPLIT",10,100,100,20,40,200
8066,-1320018602,"A_SPLIT",10,100,150,0,33,150
8074,-1319966179,"A_SPLIT",10,100,150,5,40,100
8082,-1319940446,"A_SPLIT",10,100,150,10,40,200
8090,-1319921134,"A_SPLIT",10,100,150,20,33,150
8098,-1319870892,"A_SPLIT",10,100,150,25,40,100
8106,-1319845941,"A_SPLIT",25,60,50,0,40,200
8114,-1319828005,"A_SPLIT",25,60,50,10,33,150
8122,-1319818124,"A_SPLIT",25,60,50,15,40,100
8130,-1319800406,"A_SPLIT",25,60,50,20,40,200
8138,-1319790504,"A_SPLIT",25,60,100,0,33,150
8146,-1319755928,"A_SPLIT",25,60,100,5,40,100
8154,-1319730187,"A_SPLIT",25,60,100,10,40,200
8162,-1319714328,"A_SPLIT",25,60,100,20,33,150
8170,-1319669616,"A_SPLIT",25,60,100,25,40,100
8178,-1319641254,"A_SPLIT",25,60,150,0,40,200
8186,-1319613077,"A_SPLIT",25,60,150,10,33,150
8194,-1319586515,"A_SPLIT",25,60,150,15,40,100
8202,-1319561571,"A_SPLIT",25,60,150,20,40,200
8210,-1319516588,"A_SPLIT",25,80,50,0,33,150
8218,-1319498673,"A_SPLIT",25,80,50,5,40,100
8226,-1319481735,"A_SPLIT",25,80,50,10,40,200
8234,-1319471663,"A_SPLIT",25,80,50,20,33,150
8242,-1319453540,"A_SPLIT",25,80,50,25,40,100
8250,-1319406026,"A_SPLIT",25,80,100,0,40,200
8258,-1319387517,"A_SPLIT",25,80,100,10,33,150
8266,-1319369192,"A_SPLIT",25,80,100,15,40,100
8274,-1319350648,"A_SPLIT",25,80,100,20,40,200
8282,-1319303319,"A_SPLIT",25,80,150,0,33,150
8290,-1319276959,"A_SPLIT",25,80,150,5,40,100
8298,-1319251199,"A_SPLIT",25,80,150,10,40,200
8306,-1319224652,"A_SPLIT",25,80,150,20,33,150
8314,-1319198895,"A_SPLIT",25,80,150,25,40,100
8322,-1319171133,"A_SPLIT",25,100,50,0,40,200
8330,-1319161437,"A_SPLIT",25,100,50,10,33,150
8338,-1319143319,"A_SPLIT",25,100,50,15,40,100
8346,-1319125199,"A_SPLIT",25,100,50,20,40,200
8354,-1319115330,"A_SPLIT",25,100,100,0,33,150
8362,-1319087359,"A_SPLIT",25,100,100,5,40,100
8370,-1319039739,"A_SPLIT",25,100,100,10,40,200
8378,-1319029263,"A_SPLIT",25,100,100,20,33,150
8386,-1319010940,"A_SPLIT",25,100,100,25,40,100
8394,-1318985793,"A_SPLIT",25,100,150,0,40,200
8402,-1318957024,"A_SPLIT",25,100,150,10,33,150
8410,-1318931275,"A_SPLIT",25,100,150,15,40,100
8418,-1318906336,"A_SPLIT",25,100,150,20,40,200
8426,-1318880384,"A_RUSH",10,60,50,0,33,150
8434,-1318852641,"A_RUSH",10,60,50,5,40,100
8442,-1318831507,"A_RUSH",10,60,50,10,40,200
8450,-1318781265,"A_RUSH",10,60,50,20,33,150
8458,-1318756312,"A_RUSH",10,60,50,25,40,100
8466,-1318720809,"A_RUSH",10,60,100,0,40,200
8474,-1318673459,"A_RUSH",10,60,100,10,33,150
8482,-1318648324,"A_RUSH",10,60,100,15,40,100
8490,-1318623181,"A_RUSH",10,60,100,20,40,200
8498,-1318597634,"A_RUSH",10,60,150,0,33,150
8506,-1318572477,"A_RUSH",10,60,150,5,40,100
8514,-1318547319,"A_RUSH",10,60,150,10,40,200
8522,-1318522155,"A_RUSH",10,60,150,20,33,150
8530,-1318496045,"A_RUSH",10,60,150,25,40,100
8538,-1318471083,"A_RUSH",10,80,50,0,40,200
8546,-1318421013,"A_RUSH",10,80,50,10,33,150
8554,-1318393076,"A_RUSH",10,80,50,15,40,100
8562,-1318367933,"A_RUSH",10,80,50,20,40,200
8570,-1318354636,"A_RUSH",10,80,100,0,33,150
8578,-1318329294,"A_RUSH",10,80,100,5,40,100
8586,-1318304141,"A_RUSH",10,80,100,10,40,200
8594,-1318272973,"A_RUSH",10,80,100,20,33,150
8602,-1318247396,"A_RUSH",10,80,100,25,40,100
8610,-1318222651,"A_RUSH",10,80,150,0,40,200
8618,-1318196706,"A_RUSH",10,80,150,10,33,150
8626,-1318171765,"A_RUSH",10,80,150,15,40,100
8634,-1318146623,"A_RUSH",10,80,150,20,40,200
8642,-1318121468,"A_RUSH",10,100,50,0,33,150
8650,-1318100337,"A_RUSH",10,100,50,5,40,100
8658,-1318075570,"A_RUSH",10,100,50,10,40,200
8666,-1318049483,"A_RUSH",10,100,50,20,33,150
8674,-1318023381,"A_RUSH",10,100,50,25,40,100
8682,-1317998428,"A_RUSH",10,100,100,0,40,200
8690,-1317971871,"A_RUSH",10,100,100,10,33,150
